17,10,0,-166,13
18,10,0,-166,13
19,10,0,-166,13
20,10,0,-166,13
21,10,0,-166,13
22,10,0,-166,13
23,10,0,-166,13
25,4,0,175,22
26,4,0,176,22
27,4,0,177,23
28,4,0,178,22
29,4,0,179,22
30,4,0,179,22
31,4,0,-178,22
32,4,0,-178,22
33,4,0,-177,22
34,4,0,-175,23
35,4,0,-174,23
36,4,0,-173,22
37,4,0,-172,22
37,4,1,20,-4
38,4,0,-171,22
38,4,1,20,-4
39,4,0,-170,22
39,4,1,20,-4
40,4,0,-169,22
40,4,1,20,-4
41,4,0,-168,22
41,4,1,20,-4
42,4,0,-167,22
42,4,1,20,-4
43,4,0,-166,22
43,4,1,20,-4
44,4,0,-165,22
44,4,1,20,-4
45,4,0,-163,22
45,4,1,20,-4
46,4,0,-162,22
46,4,1,20,-4
47,4,0,-161,22
47,4,1,20,-4
48,4,0,-160,22
48,4,1,20,-4
49,4,0,-159,21
49,4,1,20,-4
50,4,0,-159,22
50,4,1,20,-4
51,4,0,-158,20
51,4,1,20,-4
52,4,0,-156,20
52,4,1,20,-4
53,4,0,-155,19
53,4,1,20,-4
54,4,0,-154,19
54,4,1,20,-4
55,4,0,-153,19
55,4,1,20,-4
56,4,0,-152,19
56,4,1,20,-4
57,4,0,-151,19
57,4,1,20,-4
58,4,0,-150,19
58,4,1,20,-4
59,4,0,-149,19
59,4,1,20,-4
60,4,0,-148,19
60,4,1,20,-4
61,4,0,-147,19
61,4,1,20,-4
62,4,0,-146,19
62,4,1,20,-4
63,4,0,-145,19
63,4,1,20,-4
64,4,0,-144,19
64,4,1,20,-4
65,4,0,-143,18
65,4,1,20,-4
66,4,0,-142,18
66,4,1,20,-4
67,4,0,-141,18
67,4,1,20,-4
68,4,0,-140,18
68,4,1,20,-4
69,4,0,-138,17
69,4,1,20,-4
70,4,0,-137,17
70,4,1,20,-4
71,4,0,-136,17
71,4,1,20,-4
72,4,0,-135,17
72,4,1,20,-4
73,4,0,-134,17
73,4,1,20,-4
74,4,0,-133,17
74,4,1,20,-4
75,4,0,-132,16
75,4,1,20,-4
76,4,0,-131,15
76,4,1,20,-4
77,4,0,-130,15
77,4,1,20,-4
78,4,0,-129,15
78,4,1,20,-4
79,4,0,-128,15
79,4,1,20,-4
80,4,0,-128,14
80,4,1,20,-4
81,4,0,-127,14
81,4,1,20,-4
82,4,0,-126,14
82,4,1,20,-4
83,4,0,-125,13
83,4,1,20,-4
84,4,0,-124,13
84,4,1,20,-4
85,4,0,-123,13
85,4,1,20,-4
86,4,0,-123,13
86,4,1,20,-4
87,4,0,-122,14
87,4,1,20,-4
88,4,0,-123,9
88,4,1,20,-4
89,4,0,-122,9
89,4,1,20,-4
90,4,0,-124,8
90,4,1,20,-4
91,4,0,-124,8
91,4,1,20,-4
92,4,0,-124,8
92,4,1,20,-4
93,4,0,-126,8
93,4,1,20,-4
94,4,0,-126,8
94,4,1,20,-4
95,4,0,-127,8
95,4,1,20,-4
96,4,0,-128,8
96,4,1,20,-4
97,4,0,-129,8
97,4,1,20,-4
98,4,0,-130,9
98,4,1,20,-4
99,4,0,-131,9
99,4,1,20,-4
100,4,0,-132,9
100,4,1,20,-4
101,4,0,-133,9
101,4,1,20,-4
102,4,0,-134,9
102,4,1,20,-4
103,4,0,-135,9
103,4,1,20,-4
104,4,0,-136,9
104,4,1,20,-4
105,4,0,-137,9
105,4,1,20,-4
106,4,0,-138,10
106,4,1,20,-4
107,4,0,-139,11
107,4,1,20,-4
108,4,0,-139,9
108,4,1,20,-4
109,4,0,-141,12
109,4,1,20,-4
110,4,0,-143,9
110,4,1,20,-4
111,4,0,-143,12
111,4,1,20,-4
112,4,0,-145,10
112,4,1,20,-4
113,4,0,-145,9
113,4,1,20,-4
114,4,0,-146,12
114,4,1,20,-4
115,4,0,-147,12
115,4,1,20,-4
116,4,0,-148,12
116,4,1,20,-4
117,4,0,-149,12
117,4,1,20,-4
118,4,0,-150,12
118,4,1,20,-4
119,4,0,-151,12
119,4,1,20,-4
120,4,0,-153,12
120,4,1,20,-4
121,4,0,-153,12
121,4,1,20,-4
122,4,0,-154,12
122,4,1,20,-4
123,4,0,-156,12
123,4,1,20,-4
124,4,1,20,-4
125,4,1,20,-4
126,4,1,20,-4
127,4,1,20,-4
128,4,1,20,-4
129,4,1,20,-4
130,4,1,20,-4
131,4,1,20,-4
132,4,1,20,-4
133,4,1,20,-4
134,4,1,20,-4
135,4,1,20,-4
136,4,1,20,-4
137,4,1,20,-4
138,4,1,20,-4
139,4,1,20,-4
140,4,1,20,-4
141,4,1,20,-4
142,4,1,20,-4
143,4,1,20,-4
144,4,1,20,-4
145,4,1,20,-4
146,4,1,20,-4
147,4,1,20,-4
148,4,1,20,-4
149,4,1,20,-4
149,10,1,57,-6
150,4,1,20,-4
150,10,1,57,-6
151,4,1,20,-4
151,10,1,56,-6
152,4,1,20,-4
152,10,1,55,-6
153,4,1,20,-4
153,10,1,54,-5
154,4,1,20,-4
154,10,1,52,-6
155,4,1,20,-4
155,10,1,52,-6
156,4,1,20,-4
156,10,1,48,-5
157,4,1,20,-4
157,10,1,50,-5
158,4,1,20,-4
158,10,1,49,-5
159,4,1,20,-4
159,10,1,48,-5
160,4,1,20,-4
160,10,1,46,-4
161,4,1,20,-4
161,10,1,46,-4
162,4,1,20,-4
162,10,1,45,-4
163,4,1,20,-4
163,10,1,44,-4
164,4,1,20,-4
164,10,1,43,-4
165,4,1,20,-4
165,10,1,42,-4
166,4,1,20,-4
167,4,1,20,-4
168,4,1,20,-4
169,4,1,20,-4
170,4,1,20,-4
171,4,1,20,-4
172,4,1,20,-4
173,4,1,20,-4
174,4,1,20,-4
